item_idx,n_desc,bleu_mean,bleu_min,bleu_max,bleu_std
5118,5,0.01547645272597432,0.005591447047890486,0.037729138673427344,0.009311615333387575
5119,5,0.030791985770968873,0.0,0.17034799410713272,0.049013707416293975
5120,5,0.011762116280838607,0.0,0.03550467708240432,0.009602404650871687
5121,5,0.009476299218210842,0.0,0.015226277779914149,0.004392191880898872
5122,5,0.011690212782111253,0.0,0.021903597945145244,0.006362188850645391
5123,5,0.011947519256099468,0.00420191367441466,0.01710885360491025,0.004288019851033163
5124,5,0.013652694340815463,0.008288830686212103,0.026012784404037925,0.005005243113588556
5125,5,0.019089319716766456,0.009483240843460443,0.053463162573637084,0.012576503692616628
5126,5,0.019898564307346375,0.009505116453442368,0.061175206929160446,0.015269532842182094
5127,5,0.009400713880546202,0.0,0.030206205252435548,0.009599352138128693
5128,5,0.026528184380328917,0.0033509943100288953,0.15125149328637183,0.04274522899570682
5129,5,0.012878466957302121,0.0,0.017487432819564223,0.004787848918698192
5130,5,0.03973695666259291,0.00824672896946456,0.20105373454060027,0.05501402973089342
5131,5,0.014191069106119156,0.0,0.06128220932693689,0.016822026937376198
5132,5,0.022678766991529497,0.006915514591064894,0.0497074547280084,0.012236041529871842
5133,5,0.011717085433016253,0.000981403731523676,0.024178614976744797,0.007213608859829991
5134,5,0.009919249799186984,0.0,0.020876993044393874,0.005979474806506362
5135,4,0.0193043435426218,0.007139432122313838,0.04083617715840545,0.010743818853955533
5136,4,0.006727352764004109,0.0,0.01801210737536247,0.00662983163355765
5137,4,0.04930644637942411,0.0,0.2574866101628968,0.09742436429509814
5138,5,0.009852818740778823,0.0,0.017033186037639283,0.005089381136692106
5139,5,0.04972264434447711,0.004601964602601225,0.2802554289828041,0.08284309504729731
5140,5,0.02614683291079533,0.009975840318370089,0.08012120435729668,0.020408948003034083
5141,5,0.0076082917481099955,0.0004032428429637837,0.013756742073424323,0.004568967293380864
5142,5,0.012711892160043769,0.0,0.022416933501922302,0.006402630827816411
5143,5,0.008267237859293505,0.0,0.01571650849186369,0.006017805801602447
5144,5,0.013132954000336355,0.002022493038235231,0.04108404733153058,0.010228243839281686
5145,5,0.014723163801656775,0.007559559445663099,0.024200049100584903,0.00608781323136489
