item_idx,n_desc,rougeL_mean,rougeL_min,rougeL_max,rougeL_std
85,5,0.20212885154061624,0.11764705882352941,0.33333333333333337,0.08261027504853953
86,5,0.17762644498170815,0.0,0.3571428571428571,0.10175525484355738
87,5,0.25965533898052573,0.12121212121212122,0.42857142857142855,0.10756485627522827
88,4,0.18323362818184805,0.08888888888888889,0.3225806451612903,0.07902912122892208
89,5,0.28942451997846086,0.15,0.48000000000000004,0.09201980432241291
90,4,0.23502397592033444,0.12244897959183673,0.36363636363636365,0.10009550057011617
91,5,0.18172155596432568,0.07142857142857144,0.3125,0.08141520153471331
92,5,0.20350330955594118,0.14285714285714288,0.33333333333333337,0.05479906045214528
93,5,0.2133308305524657,0.06896551724137931,0.32,0.0723529879569901
94,5,0.23409741901832737,0.1379310344827586,0.3333333333333333,0.05126304360588388
95,5,0.1786228103636335,0.06666666666666667,0.2727272727272727,0.0646117211054399
96,5,0.1650720456686939,0.08333333333333334,0.2105263157894737,0.03911598142596506
97,5,0.1692299189727732,0.12,0.25,0.03955275109546842
98,5,0.22587965176683897,0.0909090909090909,0.3673469387755102,0.09162460036968531
99,4,0.2537445533769064,0.18750000000000003,0.33333333333333337,0.04991046357874089
100,3,0.18434343434343434,0.13636363636363635,0.25,0.05263198169742638
101,5,0.13246052496427313,0.07142857142857144,0.26086956521739135,0.05564003355102645
102,5,0.22998736776981038,0.06896551724137931,0.4761904761904762,0.1117453839689268
103,5,0.21604783918987652,0.11764705882352941,0.29629629629629634,0.06505840172802338
104,5,0.2247625775758768,0.11764705882352941,0.33333333333333337,0.06754417431028982
105,5,0.21407159794228753,0.06896551724137931,0.32,0.07693557795376114
106,5,0.2825578850526783,0.05555555555555555,0.5294117647058824,0.12317251512396835
107,5,0.20392334357714287,0.037735849056603765,0.3561643835616438,0.09899455014819815
108,5,0.2261429061268072,0.0606060606060606,0.37500000000000006,0.09864158366298752
109,5,0.31983817983817986,0.22857142857142854,0.4615384615384615,0.08081849291235337
110,4,0.20224409930292284,0.15384615384615385,0.27777777777777773,0.04815174911619096
111,5,0.21903037977949422,0.09756097560975609,0.3255813953488372,0.07551417137558716
112,5,0.21890722320169043,0.10526315789473682,0.625,0.1437308397156422
113,5,0.19175588248868497,0.09375,0.2978723404255319,0.06840858388314998
114,5,0.22072816752591665,0.07692307692307693,0.411764705882353,0.09216784555273391
115,5,0.15826028154214528,0.10256410256410256,0.23255813953488372,0.038335459960957545
116,5,0.15694339620634734,0.04878048780487805,0.35000000000000003,0.08682263076863304
117,5,0.20773506996226754,0.07407407407407407,0.3529411764705882,0.12502738522194937
118,5,0.2318827915364527,0.06451612903225808,0.4999999999999999,0.13848231848504206
119,5,0.2460895820323631,0.1090909090909091,0.391304347826087,0.09029668705211855
120,5,0.14759542370027956,0.06451612903225806,0.20689655172413793,0.043265537879808046
121,5,0.2857244053684543,0.1935483870967742,0.42857142857142855,0.08554471539787302
122,5,0.18887977811788312,0.09523809523809523,0.27027027027027023,0.047743441526927596
123,5,0.13254463791754334,0.06666666666666667,0.18749999999999997,0.04202572975018282
124,5,0.18999860617318864,0.0689655172413793,0.26666666666666666,0.061114642799120475
125,5,0.22237986923470793,0.0,0.4,0.11374419882508362
126,5,0.25190890861009707,0.08333333333333334,0.4761904761904762,0.10929762922234453
127,5,0.1667377722176648,0.0851063829787234,0.2926829268292683,0.06353317311447446
128,5,0.19086005835775421,0.07142857142857142,0.380952380952381,0.103664894742338
